,"Average Days in Stock","Current","1 - 60","61 - 120","121 - 180","> 180","TOTAL"
"Inventory","","","","","","",
"20-0150-0826 (Power Adapter Type A,  24V/12.5A Power Adapter for 20-3012-1026    )",239.00,0.00,0.00,0.00,0.00,235.00,235.00
"20-0160-0792 (Micro SD Card cover)",176.00,0.00,0.00,0.00,49.60,0.00,49.60
"20-0160-0846 (Back Side Metal with Dual Antenna holes for 20-3008-1002 10.1"" Unit...",473.00,0.00,0.00,0.00,0.00,35.53,35.53
"20-0160-1000 (Back Side Metal with Dual Antenna holes for 20-3008-1067 32"" Unit P...",472.00,0.00,0.00,0.00,0.00,18.84,18.84
"20-0160-1016 (Back Side Metal with Dual Antenna holes for 20-3008-1068 32"" Unit T...",472.00,0.00,0.00,0.00,0.00,24.80,24.80
"20-0160-1129 (Back Side Metal with Dual Antenna holes for 20-3008-1158 22"" Square)",473.00,0.00,0.00,0.00,0.00,3.19,3.19
"20-0160-1184 (Back Side Metal with Dual Antenna holes for 20-3008-1052 13.3"" Unit...",473.00,0.00,0.00,0.00,0.00,40.66,40.66
"20-0160-1379 (Back Side Metal with Dual Antenna holes for 20-3008-1046 10.1"" Unit...",473.00,0.00,0.00,0.00,0.00,21.00,21.00
"20-0160-1459 (Custom bracket for Verizon wall fixture 15"" BrightSign Built-In)",1366.00,0.00,0.00,0.00,0.00,28.20,28.20
"20-0160-1475 (Back Metal Housing for 20-3009-1002)",472.00,0.00,0.00,0.00,0.00,18.72,18.72
"20-0160-1484 (Back Side Metal with Dual Antenna holes for 20-3009-1003 15.6"" Unit)",472.00,0.00,0.00,0.00,0.00,13.59,13.59
"20-0160-1496 (Black 39.4"" LiveTry Bracket - Center Notch for , Direct/Corp stores)",1.00,0.00,20.24,0.00,0.00,0.00,20.24
"20-0160-2034 (Stand, VESA folding stand)",1489.00,0.00,0.00,0.00,0.00,832.93,832.93
"20-0160-2035 (Screw KM3*5mm Iron Black)",176.00,0.00,0.00,0.00,37.50,0.00,37.50
"20-0160-2601 (Accessory to 20-0160-1475, for Metal Housing of 20-3009-1002.)",473.00,0.00,0.00,0.00,0.00,0.52,0.52
"20-0160-2896 (Black Back Plate for 20-3011-1263)",262.00,0.00,0.00,0.00,0.00,4.14,4.14
