,"Average Days in Stock","Current","1 - 60","61 - 120","121 - 180","> 180","TOTAL"
"Inventory","","","","","","",
"20-3002-2201 (22.9"" UW Finished V-Series Slim Gen2 No Glass Daisy Chain Downlight...",65.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-2203 (13.3"" Finished V-Series Slim Gen2 No Glass Daisy Chain Downlighting...",65.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-2204 (21.9"" Finished V-Series OD:569*233*54mm 1920x720)",65.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-2205 (21.9"" Finished V-Series Slim Gen2 No Glass DaisyChain Downlighting ...",1122.00,0.00,0.00,0.00,0.00,814.84,814.84
"20-3002-2216 (15.6"" Frameless C Series, no HDMI 1366x768)",1025.00,0.00,0.00,0.00,0.00,629.44,629.44
"20-3002-2249 (6"" Frameless V-Series Touch, 720x1440)",7.00,0.00,181.64,0.00,0.00,0.00,181.64
"20-3002-2259 (19.1"" UW Finished V-Series Touch 1920x408)",52.00,0.00,352.36,0.00,0.00,0.00,352.36
"20-3002-2264 (10.1"" Frameless V-Series, Thin Form Factor, MicroSD Input, 1280x800)",59.00,0.00,837.87,0.00,0.00,0.00,837.87
"20-3003-0015 (8GB Sandisk Ultra Class10 MicroSD Card Gen 3)",122.00,0.00,236.14,2604.44,4503.51,0.00,7344.09
"20-3003-0016 (16GB Sandisk Ultra Class10 MicroSD Card, Gen 3)",27.00,0.00,2153.70,0.00,0.00,0.00,2153.70
"20-3003-0017 (32GB Sandisk Ultra Class10 MicroSD Card, Gen 3)",132.00,0.00,0.00,0.00,158.40,0.00,158.40
"20-3003-0018 (64GB Sandisk Ultra Class10 MicroSD Card, Gen 3)",88.00,0.00,0.00,31.48,0.00,0.00,31.48
"20-3003-0019 (8GB Kingston Class 4 MicroSD Card)",254.00,0.00,0.00,0.00,0.00,24.99,24.99
"20-3004-1004 (13.3"" Framless BrightSign Built-In Touch 1920x1080)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1006 (15.6"" Framless BrightSign Built-In Touch 1920x1080)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1008 (19.5"" Frameless BrightSign Built-In Touch 1600x900)",1416.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1015 (10.1"" Frameless BrightSign Built-In Touch Sonos 1280x800)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1031 (21.5"" Finished BrightSign Built-In XT-1144-PP Touch 1920x1080)",305.00,0.00,0.00,0.00,0.00,900.90,900.90
"20-3004-1038 (49"" Frameless BrightSign Built-In 1920x1080)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1039 (32"" Finished BrightSign Built-InTouch 1920x1080)",1418.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1042 (32"" Frameless BrightSign Built-In Optional USB button board 1920x1080)",1455.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1066 (10.1"" Finished BrightSign Built-In POE+ 1280x800)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1073 (19.5"" Finished BrightSign Built-In 1920x1080)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1078 (32"" Finished BrightSign Built-In 1920x1080)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1102 (Power Adapter 10.1"" Finished BrightSign Built-In  Touch POE Interna...",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1157 (21"" UW Finished BrightSign Built-In 1920x132)",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1162 (10.1"" Finished BrightSign Built-In Touch White Painting Network and...",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3004-1171 (15.6"" Finished-VESA cabling BrightSign Built-In Touch Symmetric Pow...",1492.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3006-1005 (15.6"" Finished R Series Touch 1920x1080)",367.00,0.00,0.00,0.00,0.00,153.02,153.02
"20-3006-1008 (10.1"" Finished R Series Touch Countertop Portrait Black Housing 120...",1302.00,0.00,0.00,0.00,0.00,200.64,200.64
"20-3006-1011 (32"" Finished R Series Touch 1920x1080)",942.00,0.00,0.00,0.00,0.00,1513.44,1513.44
"20-3006-1015 (6"" Finished R Series Touch 1440x720)",1122.00,0.00,0.00,0.00,0.00,373.16,373.16
"20-3006-1032 (21.5"" Finished R Series, Touch, PoE, 1920x1080)",348.00,0.00,0.00,0.00,0.00,319.12,319.12
"20-3006-1051 (13.3"" Frameless R Series  PoE 1920x1080)",423.00,0.00,0.00,0.00,0.00,1272.44,1272.44
"20-3006-1068 (32"" Frameless R Series Touch POE++ 1920x1080)",756.00,0.00,0.00,0.00,0.00,1442.10,1442.10
"20-3006-1095 (15.6"" Finished R Series Touch POE+ 1920x1080)",148.00,0.00,0.00,0.00,142.35,0.00,142.35
"20-3006-1182 (13.3"" Countertop R Series Landscape Touch Black Housing 1920x1080)",739.00,0.00,0.00,0.00,0.00,125.15,125.15
"20-3006-1219 (13.3"" Finished R Series Touch POE 1920x1080)",892.00,0.00,0.00,0.00,0.00,129.87,129.87
"20-3006-1248 (8"" Finished R Series, 800x1280, Touch, POE, 5MP Camera, Countertop,...",400.00,0.00,0.00,0.00,0.00,578.64,578.64
"20-3008-1001 (10.1"" Finished BrightSign Built-In  Capacitive Touch 1280x800)",115.00,0.00,463.30,0.00,0.00,312.81,776.11
"20-3008-1002 (10.1"" Custom Frameless BrightSign Built-In Capacitive Touch 1280x80...",499.00,0.00,0.00,0.00,0.00,1403.78,1403.78
"20-3008-1008 (13.3"" Finished BrightSign Built-in, Touch, PoE, 1920x1080)",106.00,0.00,0.00,8812.12,0.00,0.00,8812.12
"20-3008-1010 (13.3"" Custom Finished BrightSign Built-In White Capacitive Touch Po...",636.00,0.00,0.00,0.00,0.00,560.08,560.08
"20-3008-1028 (10.1"" Finished  White BrightSign Built-In Touch POE+ 1280x800)",974.00,0.00,0.00,0.00,0.00,363.66,363.66
"20-3008-1034 (55"" Frameless BrightSign Built-In 1920x1080)",1934.00,0.00,0.00,0.00,0.00,473.02,473.02
"20-3008-1044 (10.1"" Frameless BrightSign Built-In 1280x800)",185.00,0.00,0.00,0.00,0.00,79.13,79.13
"20-3008-1045 (10.1"" Frameless BrightSign Built-In  PoE+ 1280x800)",72.00,0.00,0.00,1365.44,0.00,0.00,1365.44
"20-3008-1046 (10.1"" Frameless BrightSign Built-In  Capacitive Touch PoE 1280x800)",115.00,0.00,0.00,1864.26,0.00,0.00,1864.26
"20-3008-1051 (13.3"" Frameless BrightSign Built-In PoE 1920x1080)",147.00,0.00,0.00,0.00,1521.30,0.00,1521.30
"20-3008-1052 (13.3"" Frameless BrightSign Built-In Capacitive Touch PoE 1920x1080)",146.00,0.00,0.00,2430.60,1920.32,155.76,4506.68
"20-3008-1053 (15.6"" Frameless BrightSign Built-In PoE 1920x1080)",128.00,0.00,0.00,0.00,402.20,0.00,402.20
"20-3008-1054 (15.6"" Frameless BrightSign Built-In Capacitive Touch PoE 1920x1080)",128.00,0.00,0.00,1572.96,0.00,258.94,1831.90
"20-3008-1058 (21.5"" Frameless BrightSign Built-In  Capacitive Touch PoE+ 1920X1080)",95.00,0.00,0.00,2966.80,0.00,0.00,2966.80
"20-3008-1067 (32"" Frameless BrightSign Built-In PoE++ 1920x1080)",554.00,0.00,0.00,0.00,0.00,502.50,502.50
"20-3008-1085 (10.1"" Finished BrightSign Built-in, Touch, PoE, 1280x800)",22.00,0.00,27841.03,0.00,0.00,0.00,27841.03
"20-3008-1089 (11.6"" Finished BrightSign Built-In Capacitive Touch PoE 1920x1080)",185.00,0.00,0.00,0.00,0.00,244.92,244.92
"20-3008-1093 (15.6"" Finished BrightSign Built-In Capacitive Touch 1920x1080)",74.00,0.00,0.00,137.40,0.00,0.00,137.40
"20-3008-1095 (15.6"" Finished BrightSign Built-in, Touch, PoE, 1920x1080)",155.00,0.00,0.00,0.00,144.81,0.00,144.81
"20-3008-1096 (19.5"" Finished BrightSign Built-In 1920x1080)",602.00,0.00,0.00,0.00,0.00,118.02,118.02
"20-3008-1128 (10.1"" Custom Frameless Duco replacement BrightSign Built-In 245x106...",137.00,0.00,0.00,0.00,80.63,0.00,80.63
"20-3008-1129 (10.1"" Custom Frameless BrightSign Built-In BBY 260.4x140mm mounting...",240.00,0.00,0.00,0.00,0.00,321.12,321.12
"20-3008-1130 (19"" UW Finished BrightSign Built-In Touch 1920x360)",1750.00,0.00,0.00,0.00,0.00,170.68,170.68
"20-3008-1131 (19"" UW Finished BrightSign Built-In Touch POE+ 1920x360)",427.00,0.00,0.00,0.00,0.00,182.79,182.79
"20-3008-1134 (24"" UW Finished BrightSign Built-In Touch POE 1920x360)",1049.00,0.00,0.00,0.00,0.00,447.40,447.40
"20-3008-1135 (21"" UW Finished BrightSign Built-In Touch 1920x132)",1750.00,0.00,0.00,0.00,0.00,666.56,666.56
"20-3008-1148 (10.1"" Countertop BrightSign Built-In Capacitive Touch Portrait Whit...",194.00,0.00,0.00,978.10,0.00,291.30,1269.40
"20-3008-1149 (10.1"" Countertop BrightSign Built-In Landscape White Housing)",239.00,0.00,0.00,954.80,0.00,174.46,1129.26
"20-3008-1150 (10.1"" Finished LED BrightSign Built-In Capacitive Touch PoE 1280x800)",120.00,0.00,115.25,0.00,691.50,0.00,806.75
"20-3008-1159 (10.1"" Finished BrightSign Built-In Bose 1280x800)",1858.00,0.00,0.00,0.00,0.00,84.53,84.53
"20-3008-1160 (10.1"" Custom Frameless BrightSign Built-In BOSE-special use 1280x800)",1167.00,0.00,0.00,0.00,0.00,146.52,146.52
"20-3008-1167 (29"" UW FinishedBrightSign Built-In POE++ no glass 1920x540)",949.00,0.00,0.00,0.00,0.00,309.50,309.50
"20-3008-1172 (32"" Finished BrightSign Built-in, No Glass, 1920x1080)",192.00,0.00,0.00,0.00,0.00,158.26,158.26
"20-3008-1173 (49"" Frameless BrightSign Built-In 2 sets V-Series two brightness le...",1424.00,0.00,0.00,0.00,0.00,1541.75,1541.75
"20-3008-1175 (10.1"" Countertop BrightSign Built-In  Portrait Touch POE Proximity ...",904.00,0.00,0.00,0.00,0.00,103.53,103.53
"20-3008-1181 (10.1” Countertop BrightSign Built-In, Touch, Landscape, 1280x800)",417.00,0.00,0.00,102.82,0.00,1165.67,1268.49
"20-3008-1182 (13.3"" Countertop BrightSign Built-In, Touch, Landscape, 1920x1080)",199.00,0.00,117.73,0.00,1177.30,235.46,1530.49
"20-3008-1184 (19.5"" Frameless Standard BrightSign Built-In 5M camera 1920x1080)",1018.00,0.00,0.00,0.00,0.00,237.48,237.48
"20-3008-1192 (15.6"" Custom Finished BrightSign Built-In Touch WiFi on bottom back...",948.00,0.00,0.00,0.00,0.00,146.46,146.46
"20-3008-1195 (13.3"" Countertop BrightSign Built-In Landscape Touch POE Black Hous...",39.00,0.00,511.08,0.00,0.00,0.00,511.08
"20-3008-1196 (11.6"" Countertop BrightSign Built-In Landscape Touch POE Black Hous...",646.00,0.00,0.00,0.00,0.00,250.62,250.62
"20-3008-1197 (10.1” Countertop BrightSign Built-In, Touch, Portrait, 1280x800)",102.00,0.00,0.00,1040.90,0.00,0.00,1040.90
"20-3008-1198 (15.6"" Custom Frameless BrightSign Built-In Touch no mounting tabs W...",1453.00,0.00,0.00,0.00,0.00,132.94,132.94
"20-3008-1205 (10.1"" Finished BrightSign Built-In Touch POE+ 1920x1200)",270.00,0.00,0.00,0.00,0.00,1710.52,1710.52
"20-3008-1207 (10.1"" Custom Wedge BrightSign Built-In Touch Fan housing speaker US...",788.00,0.00,0.00,0.00,0.00,323.22,323.22
"20-3008-1209 (10.1"" Frameless BrightSign Built-In Touch 1920x1200)",239.00,0.00,0.00,0.00,0.00,2184.60,2184.60
"20-3008-1221 (55"" Finished BrightSign Built-In Outdoor Display, 2500nits 1920x1080)",855.00,0.00,0.00,0.00,0.00,8750.32,8750.32
"20-3008-1222 (19.5” Countertop BrightSign Built-In, Touch, Landscape, 1920x1080)",283.00,0.00,148.66,0.00,0.00,1782.89,1931.55
"20-3008-1223 (15.6” Countertop BrightSign Built-In, Touch, Landscape, 1920x1080)",462.00,0.00,0.00,0.00,0.00,695.30,695.30
"20-3008-1230 (55"" Finished BrightSign Built-In Outdoor Display, 1920x1080)",410.00,0.00,0.00,0.00,0.00,1357.88,1357.88
"20-3008-1236 (10.1"" Custom Countertop BrightSign Built-In Touch POE Landscape Bla...",60.00,0.00,113.32,0.00,0.00,0.00,113.32
"20-3008-1260 (13.3"" Countertop BrightSign Built-In Portrait Capacitive Touch 1920...",72.00,0.00,0.00,1239.80,0.00,0.00,1239.80
"20-3008-1267 (12.1” Outdoor Finished BSBI, Touch, POE++, IK10, Antiglare, 1280x800)",10.00,0.00,246.29,0.00,0.00,0.00,246.29
"20-3008-1268 (13.3"" Countertop BrightSign Built-In, Portrait, Touch, POE, White, ...",46.00,0.00,529.92,0.00,0.00,0.00,529.92
"20-3009-1002 (13.3"" Video Wall BrightSign Built-In 3x1 Black Housing 1920x1080)",554.00,0.00,0.00,0.00,0.00,1166.48,1166.48
"20-3009-1003 (15.6"" Video Wall BrightSign Built-In 3x1 Black Housing 1920x1080)",455.00,0.00,0.00,0.00,0.00,1106.64,1106.64
"20-3009-1222 (19.5"" Custom Finished BrightSign Built-In Countertop Touch 1920x108...",247.00,0.00,0.00,0.00,0.00,159.32,159.32
"20-3009-1233 (37"" Custom BrightSign Built-In Countertop Touch 1920x540 Landscape,...",730.00,0.00,0.00,0.00,0.00,556.33,556.33
"20-3009-1234 (39.4"" Custom UW Finished BrightSign Built-In (HS144) Built-In Capac...",157.00,0.00,0.00,2578.95,0.00,515.79,3094.74
"20-3009-1235 (39.4"" Custom Countertop UW Finished BrightSign Built-In (HS144) Bui...",142.00,0.00,0.00,496.32,3970.56,0.00,4466.88
"20-3009-1246 (Dual 55"" BSBI, 3840*2160 500nits and 1920*1080 4000nits, Finished, ...",358.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3009-1250 (15.6"" Custom Finished Brightsign Built In w/ capacative Touch, w/ H...",707.00,0.00,0.00,0.00,0.00,164.16,164.16
"20-3009-1252 (44"" Dual Stretched Finished BrightSign Built-In HS144, w/o Glass, W...",680.00,0.00,0.00,0.00,0.00,967.26,967.26
"20-3009-1262 (39.4"" Custom UW Finished BrightSign Built-In (XT1144) Built-In Capa...",166.00,0.00,0.00,12355.75,0.00,2471.15,14826.90
"20-3009-1271 (13.3"" Finished Bright Sign Built-In Touch POE, Outdoor, 1920 x 1080)",186.00,0.00,0.00,197.46,2369.52,3011.85,5578.83
"20-3009-1273 (46.0"" Finished Bright Sign Built-In XT1144 1920x1080)",11.00,0.00,448.70,0.00,0.00,0.00,448.70
"20-3009-1275 (48.0"" Finished UW Bright Sign Built-In (HS145) Touch 3840 x 352)",436.00,0.00,0.00,0.00,0.00,1367.54,1367.54
"20-3009-1276 (48.0"" Finished UW Bright Sign Built-In (HS145) Touch 3840 x 690)",431.00,0.00,0.00,0.00,0.00,681.89,681.89
"20-3009-1279 (49.0"" Custom Finished BrightSign XT1144-PP, flush silver bezel, inc...",11.00,0.00,305.26,0.00,0.00,0.00,305.26
"20-3009-1280 (43” Finished BrightSign Built-in (XT1144-PP), HDMI input, Touch, 38...",284.00,0.00,0.00,0.00,0.00,1261.41,1261.41
"20-3009-1282 (75” Finished BrightSign Built-in (XT144-pp), HDMI input, Larger bez...",262.00,0.00,0.00,0.00,0.00,984.26,984.26
"20-3009-1286 (24” UW Finished BrightSign Built-in (HS145) capacitive touch, 1920x...",273.00,0.00,0.00,0.00,0.00,487.84,487.84
"20-3009-1289 (39.1"" Custom UW Finished  Flex-OS, Touch, Bonded IK10 Glass, Anti-G...",105.00,0.00,0.00,685.88,0.00,0.00,685.88
"20-3009-1291 (10.1"" Finished LED BrightSign Built-In,  Touch, PoE, 1280x800)",53.00,0.00,773.01,992.16,0.00,0.00,1765.17
"20-3009-1292 (39.4"" Custom WHITE UW Finished  Capacitive touch, matte glass 3840x...",88.00,0.00,0.00,506.76,0.00,0.00,506.76
"20-3009-1293 (39.4"" Custom WHITE Countertop UW Finished BrightSign Built-In (HS14...",35.00,0.00,2481.50,0.00,0.00,0.00,2481.50
"20-3009-1295 (55"" Custom Finished Flex-OS, 25% Haze, 3840x2160, Walmart)",88.00,0.00,0.00,1073.40,0.00,0.00,1073.40
"20-3010-1002 (24"" Finished, RPBI, FHT-FL, with PI4, 4GB, 1920x1080)",1807.00,0.00,0.00,0.00,0.00,422.86,422.86
"20-3010-1008 (10.1"" Finished RPBI FH-FN V-Series Raspi Standard Touch Black w/PI4...",1530.00,0.00,0.00,0.00,0.00,856.60,856.60
"20-3010-1009 (10.1"" Finished RPBI, FH-FN, V-Series Raspi Countertop Touch Landsca...",1530.00,0.00,0.00,0.00,0.00,836.65,836.65
"20-3011-1001 (15.6"" Finished Seneca HDs Touch POE 1920x1080)",527.00,0.00,0.00,0.00,0.00,147.41,147.41
"20-3011-1002 (21.5"" Finished Seneca HDs Touch POE 1920x1080)",506.00,0.00,0.00,0.00,0.00,323.86,323.86
"20-3011-1003 (13.3"" Finished Seneca HDs Touch POE 1920x1080)",369.00,0.00,0.00,0.00,0.00,1869.44,1869.44
"20-3011-1005 (32"" Finished Seneca HDs Touch 1920x1080)",491.00,0.00,0.00,0.00,0.00,237.95,237.95
"20-3011-1223 (21.9"" Finished Seneca HDs 1920x720)",953.00,0.00,0.00,0.00,0.00,914.35,914.35
"20-3011-1232 (35.4” Finished Seneca HDs 2GB/32GB, 1920x438)",638.00,0.00,0.00,0.00,0.00,313.20,313.20
"20-3011-1244 (10.1"" Frameless G1 Intel capacitive touch 1280x800)",567.00,0.00,0.00,0.00,0.00,590.64,590.64
"20-3011-1245 (21.5"" Finished G2 Intel, IP65 front, 1500 NIT, IK10 bonded capaciti...",603.00,0.00,0.00,0.00,0.00,755.96,755.96
"20-3011-1248 (21.9"" Finished G1 Intel, No DP Port 1920*720  )",512.00,0.00,0.00,0.00,0.00,876.45,876.45
"20-3011-1249 (20.9"" Finished G1 Intel, 1920x360    )",575.00,0.00,0.00,0.00,0.00,177.66,177.66
"20-3011-1253 (19.5"" Finished G1 Intel, Capacitive Touch, PoE, WIFI, 4GB/32GB 1920...",430.00,0.00,0.00,0.00,0.00,355.32,355.32
"20-3011-1254 (20.9"" Finished Seneca , Dual LCD, PoE, IK 10    )",385.00,0.00,0.00,0.00,0.00,1556.36,1556.36
"20-3011-1259 (20.9"" Finished Seneca, Single LCD, PoE, IK10)",385.00,0.00,0.00,0.00,0.00,232.06,232.06
"20-3011-1261 (13.3"" Finished G1 Intel, Touch 1920 x 1080)",455.00,0.00,0.00,0.00,0.00,229.36,229.36
"20-3011-1262 (10.1” Finished G1 Intel, Touch, POE, LED Lights, 1280 x 800)",437.00,0.00,0.00,0.00,0.00,121.65,121.65
"20-3011-1267 (10.1"" Custom Finished, G1, Harbor Flip, 1280 x 800     )",143.00,0.00,0.00,0.00,96.32,0.00,96.32
"20-3011-1279 (10.1"" Finished B1 Intel, 1280x800, Capacitive Touch, PoE, LED Bars  )",72.00,0.00,0.00,1840.20,0.00,0.00,1840.20
"20-3012-1029 (21.9"" Finished 4K No Glass, 1920x718)",1054.00,0.00,0.00,0.00,0.00,214.30,214.30
"20-3012-1030 (35.8"" Finished 4K No Glass, 1920x540)",1054.00,0.00,0.00,0.00,0.00,743.16,743.16
"20-3012-1031 (42.9"" Finished 4K No Glass, 1920x342)",1054.00,0.00,0.00,0.00,0.00,1009.14,1009.14
"20-3012-1039 (43"" Custom Finished 4K Display w/ PCAP touch, speakers (2x20w), mic...",35.00,0.00,9604.40,0.00,0.00,0.00,9604.40
"20-3012-1041 (24” Custom Finished V series daisy chain, V1.2, 4K boards, 1920x360...",751.00,0.00,0.00,0.00,0.00,399.12,399.12
"20-3012-1052 (35"" Finished 4K Daisy Chain, No Glass, 1920 x 84)",185.00,0.00,0.00,0.00,0.00,296.09,296.09
"20-3013-1005 (21.9"" Finished V Series, Daisy Chain, 1920x720, No Glass, No SD, No...",107.00,0.00,0.00,939.55,0.00,0.00,939.55
"20-3013-1006 (35.4"" Finished V Series, Daisy Chain, 1920x450, No Glass, No SD, No...",66.00,0.00,0.00,2736.27,0.00,0.00,2736.27
"20-3014-1002 (47.1"" UW-Shelf Finished V4K, Daisy Chain, No Glass, 3840x160  )",102.00,0.00,0.00,6857.63,0.00,0.00,6857.63
"20-3018-0003 (49"" Finished Flex-OS, 1920x1080)",179.00,0.00,0.00,0.00,3686.54,0.00,3686.54
"20-3018-0005 (28"" UW Finished Flex-OS, 1920x360)",16.00,0.00,1054.35,0.00,0.00,0.00,1054.35
"20-3018-0006 (29"" UW Finished Flex-OS,1920x540  )",45.00,0.00,3198.30,0.00,0.00,0.00,3198.30
"20-3018-0007 (36.6"" UW Finished Flex-OS, 1920x290)",95.00,0.00,0.00,941.73,0.00,0.00,941.73
"20-3018-0008 (37"" UW Finished Flex-OS, 1920x540)",102.00,0.00,0.00,7031.07,0.00,0.00,7031.07
"20-3018-0014 (20.9"" UW Finished Flex-OS, PoE, 1920x360 (20.5x3.9""))",14.00,0.00,4823.52,0.00,0.00,0.00,4823.52
"20-3018-0017 (21.9” UW Finished Flex-OS, PoE, 1920x720 (20.5x7.7""))",219.00,0.00,0.00,0.00,0.00,5947.03,5947.03
"20-3018-0020 (48.5"" UW Finished Flex-OS, 3840x720, (48.5x10""))",165.00,0.00,0.00,562.21,3236.45,0.00,3798.66
"20-3018-0021 (32"" Finished Flex-OS, 1920 x 1080)",71.00,0.00,0.00,3954.85,0.00,0.00,3954.85
"20-3018-0022 (75"" High Bright Thin bezel Flex-OS, 3500NIT, 3840x2160    )",16.00,0.00,9290.76,0.00,0.00,0.00,9290.76
"20-3018-0025 (23.6"" Round Finished Flex-OS 1280x1280  )",64.00,0.00,1020.22,1020.22,0.00,0.00,2040.44
"20-3018-0026 (22"" Square Finished Flex-OS 1920x1920  )",80.00,0.00,1182.45,2364.90,0.00,0.00,3547.35
"20-3018-0028 (55"" Finished Flex-OS, High Bright Thin bezel , 3500NIT, 3840 x 2160  )",64.00,0.00,10459.35,0.00,0.00,1707.88,12167.23
"20-3018-0029 (55"" Finished Flex-OS, Outdoor, Anti-Glare, 3500NIT, 3840 x 2160  )",108.00,0.00,0.00,18052.56,6017.52,0.00,24070.08
"20-3018-0033 (21.5"" Finished Flex-OS, Outdoor, PoE++, 1500 NITS 1920 x 1080  )",122.00,0.00,0.00,0.00,3227.22,0.00,3227.22
"20-3018-1004 (55"" Finished Flex-OS, Touch, 3840x2160  )",92.00,0.00,5222.80,660.13,5941.17,0.00,11824.10
"20-3018-1005 (37"" UW Finished Flex-OS, Touch, 1920x540)",95.00,0.00,0.00,5283.46,0.00,0.00,5283.46
"20-3018-1006 (32"" Finished Flex-OS, Touch 1920 x 1080)",96.00,0.00,0.00,8459.22,0.00,0.00,8459.22
"20-3018-1008 (21.9” UW Finished Flex-OS, Touch, PoE, 1920x720 (20.5x7.7""))",217.00,0.00,0.00,0.00,527.80,14514.50,15042.30
"20-3018-1009 (20.9” UW Finished Flex-OS, Touch, PoE, 1920x360 (20.5x3.9""))",100.00,0.00,0.00,5507.46,0.00,262.26,5769.72
"20-3018-1011 (27"" Finished Flex-OS, Touch, 1920x1080  )",39.00,0.00,3270.75,0.00,0.00,0.00,3270.75
"20-3018-1015 (15.6"" Finished Flex-OS, Touch, PoE 1920 x 1080   )",11.00,0.00,9297.77,760.20,0.00,0.00,10057.97
"20-3018-1016 (21.5"" Finished Flex-OS, Touch, PoE 1920 x 1080   )",43.00,0.00,19083.90,6814.08,0.00,0.00,25897.98
"20-3018-1020 (48.5"" UW Finished Flex-OS, Touch, 3840x720, (48.5x10""))",218.00,0.00,0.00,0.00,0.00,2910.61,2910.61
"20-3018-1021 (21.5"" Finished Countertop Flex-OS, Touch, PoE+, 1920 x 1080   )",83.00,0.00,188.02,1316.14,0.00,0.00,1504.16
"20-3018-1024 (15.6"" Frameless Flex-OS, Touch, PoE 1920 x 1080)",31.00,0.00,1245.06,0.00,0.00,0.00,1245.06
"20-3018-1025 (21.5"" Frameless Flex-OS, Touch, PoE 1920 x 1080)",72.00,0.00,0.00,2953.26,0.00,0.00,2953.26
"20-3018-1034 (22"" White Square Finished Flex-OS, Touch,  1920x1920  )",46.00,0.00,459.56,0.00,0.00,0.00,459.56
"21-1000-1001 (Win 10 IoT Enterprise LTSC 2021 21H2 x64 English (1:M))",106.00,0.00,5505.00,0.00,6026.76,0.00,11531.76
"21-1000-1002 (Win 11 IoT Enterprise LTSC 2024 ESD OEI Entry EPKEA (1:M))",58.00,0.00,1927.64,1288.51,0.00,0.00,3216.15
"21-1000-1005 (Windows® 11 IoT Enterprise Entry (ESD) ePKEA (1:M))",175.00,0.00,0.00,0.00,1531.20,0.00,1531.20
"21-1000-1007 (Debian 10)",150.00,0.00,0.00,0.00,0.00,0.00,0.00
"21-1000-1015 (Debian 12 (128GB EmmC))",3.00,0.00,5.00,0.00,0.00,0.00,5.00
"70-2183-0001 (Power Adapter PCB, STATUS / 24VDC PWR SUPPLY 3BBL  )",571.00,0.00,0.00,0.00,0.00,4270.00,4270.00
"70-2203-0001 (Upper Control Board. Piggy Back Installed, ROHS.  )",395.00,0.00,0.00,0.00,0.00,1029.00,1029.00
"AC-ST01B-CB (ST01B Optional Carabiner.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"AC05-WHITE (AC05 - Quad Charge -White Color 4 USB Charger for AC Outlets. UL Listed)",204.00,0.00,0.00,0.00,0.00,2868.85,2868.85
"AC12B-WHITE (AC12 - """" -White Color 2 USB / 1 AC Outlet  charger for AC Outlets w...",606.00,0.00,0.00,0.00,0.00,3416.40,3416.40
"AC25B-WHITE (AC25B - White AC Charger. ETL Certified, Input:100 -240VAC          ...",239.00,0.00,5500.00,0.00,0.00,6120.20,11620.20
"AC26-WHITE (AC26 - White AC Charger ETL Certified, PD32W Dual Port Wall Charger  ...",441.00,0.00,0.00,0.00,0.00,2089.50,2089.50
"ACAT01- CUSTOM (Custom Molded Silcone case for AT01)",287.00,0.00,0.00,0.00,0.00,14.00,14.00
"ACAT01-WHITE (White Silcone case for AT01)",53.00,0.00,290.88,0.00,0.00,0.00,290.88
"AT-AC03-SL (Basic Silver Lanyard for USB Drives)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-BAT-AAA (Generic AAA Batteries)",99.00,0.00,0.00,213.47,0.00,0.00,213.47
"AT-PK-HW01 (Box, Cable and manual for HW01. bundle with HW02 to create HW01)",59.00,0.00,73.32,0.00,0.00,0.00,73.32
"AT-PK-WC38B (White Gift Box for WC38B)",29.00,0.00,400.00,0.00,0.00,0.00,400.00
"AT-PK03-SPX (Small Clear  Plastic Box with Magnetic Closure.)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-PK08-BBS (PK08-BBS - Small black gift box)",2198.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD20-SWIVEL-BLACK (Black Swivel for UD20)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD20-SWIVEL-WHITE (White Swivel for UD20)",614.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD20-U2-16G-286BLUE (UD20 - Twist - 286 Blue 16G  USB 2.0 Drive)",397.00,0.00,0.00,0.00,0.00,0.00,0.00
"AT-UD20-U2-16G-BLACK (UD20 - Twist - Black 16G  USB 2.0 Drive)",78.00,0.00,0.00,294.31,0.00,0.00,294.31
